ID	compound	source	formula
335	27702	KEGG COMPOUND	C16H17NO4
336	28658	KEGG COMPOUND	C18H21NO4
338	16719	KEGG COMPOUND	C6H10O3
339	28972	KEGG COMPOUND	C3H8O2
340	17396	KEGG COMPOUND	C14H17NO6
341	17428	KEGG COMPOUND	C19H23NO4
342	15694	KEGG COMPOUND	C13H21N3O8S
343	16358	KEGG COMPOUND	C19H25NO10
344	16982	KEGG COMPOUND	C4H10O2
345	15671	KEGG COMPOUND	C4H6O6
347	18417	KEGG COMPOUND	C17H19NO3
348	18418	KEGG COMPOUND	C16H17NO3
349	28770	KEGG COMPOUND	C16H17NO4
350	16804	KEGG COMPOUND	C16H17N
352	365	KEGG COMPOUND	C15H11ClF3NO4
353	15678	KEGG COMPOUND	C4H6N4O3
354	367	KEGG COMPOUND	C10H16
355	368	KEGG COMPOUND	C10H18O
356	28982	KEGG COMPOUND	C3H6O
357	16346	KEGG COMPOUND	C8H10O
359	15441	KEGG COMPOUND	C30H50O
360	27681	KEGG COMPOUND	C6H10O4
361	18409	KEGG COMPOUND	C5H8O4
363	35619	KEGG COMPOUND	C4H9NO2
366	32797	KEGG COMPOUND	C5H8O5
368	18288	KEGG COMPOUND	C5H12O4S2
370	15466	KEGG COMPOUND	C25H40N7O19P3S
371	29003	KEGG COMPOUND	C5H8O5
372	17943	KEGG COMPOUND	C3H6O6S
377	16831	KEGG COMPOUND	C6H10O5
379	17290	KEGG COMPOUND	C4H8O3
380	15453	KEGG COMPOUND	C25H42N7O18P3S
381	27668	KEGG COMPOUND	C33H58N7O18P3S
382	27402	KEGG COMPOUND	C37H66N7O18P3S
385	27466	KEGG COMPOUND	C35H62N7O18P3S
386	15614	KEGG COMPOUND	C6H10O3
388	403	KEGG COMPOUND	C11H8N2O3S2
389	15757	KEGG COMPOUND	C5H9NO3
390	32802	KEGG COMPOUND	C8H8O4
391	16660	KEGG COMPOUND	C8H7NO2
394	17532	KEGG COMPOUND	C10H14N2O
395	27460	KEGG COMPOUND	C17H19NO4
396	15687	KEGG COMPOUND	C4H8O2
397	16592	KEGG COMPOUND	C20H21NO4
398	16233	KEGG COMPOUND	C19H19NO4
400	15950	KEGG COMPOUND	C17H19NO3
402	28325	KEGG COMPOUND	C31H54N7O18P3S
403	28276	KEGG COMPOUND	C27H46N7O18P3S
404	28632	KEGG COMPOUND	C29H50N7O18P3S
405	18041	KEGG COMPOUND	C3H6O2
406	422	KEGG COMPOUND	C3H6O3
407	30797	KEGG COMPOUND	C4H6O5
408	32800	KEGG COMPOUND	C8H8O3
409	36941	KEGG COMPOUND	C8H7NO
410	27761	KEGG COMPOUND	C14H17NO6
413	16512	KEGG COMPOUND	C21H24NO4
414	17041	KEGG COMPOUND	C18H21NO3
415	431	KEGG COMPOUND	C25H28N2O7S
417	433	KEGG COMPOUND	C16H20N2O6S
418	28389	KEGG COMPOUND	C15H18N2O6S
419	17729	KEGG COMPOUND	C16H17NO3
420	28651	KEGG COMPOUND	C16H17NO4
421	28594	KEGG COMPOUND	C18H21NO4
422	28611	KEGG COMPOUND	C18H21NO4
424	29002	KEGG COMPOUND	C3H8O2
425	16718	KEGG COMPOUND	C19H23NO4
426	17129	KEGG COMPOUND	C19H21NO4
427	16083	KEGG COMPOUND	C12H11NO3
428	444	KEGG COMPOUND	C20H20NO4
429	16812	KEGG COMPOUND	C4H10O2
430	15672	KEGG COMPOUND	C4H6O6
431	448	KEGG COMPOUND	C18H34O4
432	15461	KEGG COMPOUND	C35H60N7O17P3S
433	15660	KEGG COMPOUND	C11H8N2O5
435	17546	KEGG COMPOUND	C10H16O
436	453	KEGG COMPOUND	C10H16O2
437	15667	KEGG COMPOUND	C8H9NO2
438	32808	KEGG COMPOUND	C6H6O5
439	16717	KEGG COMPOUND	C7H8O6
440	28627	KEGG COMPOUND	C12H20O
443	468	KEGG COMPOUND	(C6H8O7)n
444	469	KEGG COMPOUND	C13H14O4
445	470	KEGG COMPOUND	C14H16O5
446	18350	KEGG COMPOUND	C9H7NO
447	16130	KEGG COMPOUND	C14H9Cl5
448	27841	KEGG COMPOUND	C14H10Cl4
450	28959	KEGG COMPOUND	C14H8Cl4O2
451	44975	KEGG COMPOUND	C12H8N2
452	18082	KEGG COMPOUND	C41H32O26
453	27785	KEGG COMPOUND	C12H4Cl4O2
454	479	KEGG COMPOUND	C34H28O22
455	16746	KEGG COMPOUND	C6H6O4
456	17527	KEGG COMPOUND	C34H28O22
457	16164	KEGG COMPOUND	C6H6O3
458	28222	KEGG COMPOUND	C6H3Cl3
459	17253	KEGG COMPOUND	C6H4O2
461	17501	KEGG COMPOUND	C16H16O4
462	27993	KEGG COMPOUND	C28H32O14
463	18363	KEGG COMPOUND	C19H22NO4
469	28534	KEGG COMPOUND	C2H4Br2
470	27789	KEGG COMPOUND	C2H4Cl2
472	18155	KEGG COMPOUND	C23H44O5
473	30912	ChEBI	C6H9NO2
474	28516	KEGG COMPOUND	C10H10O2
475	16850	KEGG COMPOUND	C15H20O3
476	17372	KEGG COMPOUND	C21H24N2O3
477	16100	KEGG COMPOUND	C8H10O4
478	17212	KEGG COMPOUND	C12H8O2S
479	28565	KEGG COMPOUND	C13H10O2
480	507	KEGG COMPOUND	C10H14O4
483	17676	KEGG COMPOUND	C12H18O13
484	512	KEGG COMPOUND	C43H36O18
485	513	KEGG COMPOUND	C6H4Cl4
487	18365	KEGG COMPOUND	C10H8O4
488	27936	KEGG COMPOUND	C12H4Cl4O2
489	18393	KEGG COMPOUND	C10H8O3
491	15725	KEGG COMPOUND	C3H10N2
495	29111	KEGG COMPOUND	C32H55NO26
496	17631	KEGG COMPOUND	C24H42O21
501	531	KEGG COMPOUND	C12H22O10(C6H10O6)n
