Unique-Ice	HG-Sediment	UIW-DOM
		C18H23N3O7
		C19H27N3O6
		C21H31NO6
		C18H35NO6S
		C21H14O6S
		C17H14O11
		C18H18O10
		C15H22O10S
		C17H18N2O9
		C15H22O12
		C19H22O9
		C16H26O9S
		C18H22N2O8
		C16H26O11
		C20H26O8
		C17H30O8S
		C19H26N2O7
		C17H30O10
		C21H30O7
		C18H34O7S
		C22H34O6
		C19H38O6S
		C17H17NO10
		C16H17N3O9
		C18H21NO9
		C17H21N3O8
		C19H25NO8
		C18H25N3O7
		C20H29NO7
		C18H37NO6S
		C21H16O6S
		C17H16O11
		C16H16N2O10
		C18H20O8S
		C18H20O10
		C15H24O10S
		C17H20N2O9
		C19H24O9
		C16H28O9S
		C18H24N2O8
		C20H28O8
		C17H32O8S
		C21H32O7
		C18H36O7S
		C22H36O6
		C16H15NO11
		C17H19NO10
		C16H19N3O9
		C15H27NO7S2
		C18H23NO9
		C17H23N3O8
		C19H27NO8
		C20H31NO7
		C16H14O12
		C17H18O11
		C16H18N2O10
		C21H18O8
		C18H22O8S
		C18H22O10
		C15H26O10S
		C17H22N2O9
		C22H22O7
		C19H26O9
		C18H26N2O8
		C23H26O6
		C20H30O8
		C17H34O8S
		C17H34O10
		C21H34O7
		C16H17NO11
		C17H21NO10
		C16H21N3O9
		C18H25NO9
		C19H29NO8
		C20H33NO7
		C16H16O12
		C15H16N2O11
		C20H16O9
		C17H20O9S
		C16H20N2O8S
		C17H20O11
		C16H20N2O10
		C21H20O8
		C18H24O8S
		C18H24O10
		C17H24N2O9
		C22H24O7
		C19H28O7S
		C19H28O9
		C20H32O6S
		C20H32O8
		C24H32O5
		C21H36O7
		C20H36N2O6
		C21H40N2O5
		C16H19NO9S
		C16H19NO11
		C17H23NO8S
		C17H23NO10
		C16H23N3O9
		C21H23NO7
		C18H27NO9
		C19H31NO8
		C15H14O13
		C19H14O10
		C16H18O10S
		C16H18O12
		C15H18N2O11
		C20H18O9
		C17H22O9S
		C19H18N2O8
		C17H22O11
		C16H22N2O10
		C21H22O8
		C18H26O8S
		C20H22N2O7
		C18H26O10
		C17H26N2O9
		C22H26O7
		C19H30O7S
		C19H30O9
		C23H30O6
		C20H34O8
		C21H38O7
		C19H17NO9
		C16H21NO11
		C20H21NO8
		C17H25NO8S
		C19H21N3O7
		C17H25NO10
		C21H25NO7
		C18H29NO9
		C15H16O13
		C19H16O10
		C16H20O10S
		C18H16N2O9
		C16H20O12
		C20H20O9
		C17H24O9S
		C19H20N2O8
		C17H24O11
		C21H24O8
		C18H28O8S
		C20H24N2O7
		C18H28O10
		C22H28O7
		C19H32O9
		C23H32O6
		C20H36O8
		C15H19NO10S
		C15H19NO12
		C19H19NO9
		C16H23NO9S
		C18H19N3O8
		C16H23NO11
		C15H23N3O10
		C20H23NO8
		C19H23N3O7
		C17H27NO10
		C21H27NO7
		C20H27N3O6
		C18H31NO9
		C22H31NO6
		C18H14O11
		C15H18O11S
		C15H18O13
		C19H18O10
		C16H22O10S
		C18H18N2O9
		C16H22O12
		C24H22O4S
		C20H22O9
		C17H26O9S
		C19H22N2O8
		C17H26O11
		C14H30O11S
		C21H26O8
		C18H30O8S
		C20H26N2O7
		C18H30O10
		C22H30O7
		C19H34O9
		C23H34O6
		C18H17NO10
		C19H21NO9
		C18H21N3O8
		C20H25NO8
		C19H25N3O7
		C21H29NO7
		C22H16O6S
		C18H16O11
		C15H20O11S
		C17H16N2O10
		C23H20O5S
		C19H20O10
		C16H24O10S
		C18H20N2O9
		C16H24O12
		C20H24O9
		C17H28O9S
		C19H24N2O8
		C17H28O11
		C21H28O8
		C18H32O8S
		C20H28N2O7
		C22H32O7
		C19H36O7S
		C23H36O6
		C17H15NO11
		C18H19NO10
		C17H19N3O9
		C19H23NO9
		C18H23N3O8
		C20H27NO8
		C19H27N3O7
		C21H31NO7
		C18H35NO7S
		C17H14O12
		C22H18O6S
		C18H18O11
		C15H22O11S
		C17H18N2O10
		C19H22O10
		C16H26O10S
		C18H22N2O9
		C20H26O7S
		C20H26O9
		C17H30O9S
		C19H26N2O8
		C21H30O8
		C18H34O8S
		C22H34O7
		C19H38O7S
		C23H38O6
		C17H17NO11
		C16H17N3O10
		C18H21NO10
		C17H21N3O9
		C16H29NO7S2
		C19H25NO9
		C18H25N3O8
		C20H29NO8
		C17H16O12
		C16H16N2O11
		C18H20O11
		C15H24O11S
		C17H20N2O10
		C22H20O8
		C19H24O8S
		C19H24O10
		C16H28O10S
		C18H24N2O9
		C23H24O7
		C20H28O7S
		C20H28O9
		C19H28N2O8
		C24H28O6
		C21H32O8
		C18H36O10
		C22H36O7
		C17H19NO11
		C18H23NO10
		C17H23N3O9
		C19H27NO9
		C20H31NO8
		C16H14O13
		C17H18O10S
		C17H18O12
		C16H18N2O11
		C21H18O9
		C18H22O9S
		C18H22O11
		C17H22N2O10
		C22H22O8
		C19H26O8S
		C19H26O10
		C18H26N2O9
		C23H26O7
		C20H30O7S
		C20H30O9
		C24H30O6
		C21H34O8
		C18H38O10
		C22H38O7
		C21H38N2O6
		C16H17NO12
		C17H21NO9S
		C17H21NO11
		C21H21NO8
		C20H21N3O7
		C18H25NO10
		C17H25N3O9
		C22H25NO7
		C19H29NO9
		C20H33NO8
		C16H16O13
		C20H16O10
		C17H20O10S
		C17H20O12
		C16H20N2O11
		C21H20O9
		C18H24O9S
		C20H20N2O8
		C18H24O11
		C17H24N2O10
		C22H24O8
		C19H28O8S
		C21H24N2O7
		C19H28O10
		C23H28O7
		C20H32O7S
		C20H32O9
		C24H32O6
		C21H36O8
		C20H36N2O7
		C16H19NO12
		C20H19NO9
		C17H23NO9S
		C19H19N3O8
		C17H23NO11
		C21H23NO8
		C20H23N3O7
		C18H27NO10
		C22H27NO7
		C19H31NO9
		C19H14O11
		C16H18O11S
		C16H18O13
		C20H18O10
		C17H22O10S
		C19H18N2O9
		C16H22N2O9S
		C17H22O12
		C16H22N2O11
		C25H22O4S
		C21H22O9
		C18H26O9S
		C20H22N2O8
		C18H26O11
		C22H26O8
		C19H30O8S
		C21H26N2O7
		C19H30O10
		C23H30O7
		C20H34O9
		C24H34O6
		C19H17NO10
		C16H21NO10S
		C18H17N3O9
		C16H21NO12
		C20H21NO9
		C17H25NO9S
		C19H21N3O8
		C17H25NO11
		C21H25NO8
		C20H25N3O7
		C18H29NO10
		C22H29NO7
		C19H33NO9
		C19H16O11
		C16H20O11S
		C16H20O13
		C20H20O10
		C17H24O10S
		C19H20N2O9
		C17H24O12
		C25H24O4S
		C21H24O9
		C18H28O9S
		C20H24N2O8
		C18H28O11
		C22H28O8
		C19H32O8S
		C21H28N2O7
		C19H32O10
		C23H32O7
		C24H36O6
		C19H19NO10
		C16H23NO10S
		C18H19N3O9
		C20H23NO9
		C19H23N3O8
		C17H27NO11
		C21H27NO8
		C20H27N3O7
		C18H31NO10
		C22H31NO7
		C18H14O12
		C19H18O11
		C16H22O11S
		C18H18N2O10
		C16H22O13
		C24H22O5S
		C20H22O10
		C17H26O10S
		C19H22N2O9
		C17H26O12
		C21H26O9
		C18H30O9S
		C20H26N2O8
		C18H30O11
		C22H30O8
		C18H34N2O7S
		C23H34O7
		C24H38O6
		C18H17NO11
		C17H17N3O10
		C19H21NO10
		C18H21N3O9
		C20H25NO9
		C19H25N3O8
		C21H29NO8
		C20H29N3O7
		C22H33NO7
		C18H16O12
		C17H16N2O11
		C23H20O6S
		C19H20O11
		C16H24O11S
		C18H20N2O10
		C20H24O10
		C17H28O10S
		C19H24N2O9
		C12H28N2O14
		C21H28O9
		C18H32O9S
		C20H28N2O8
		C22H32O8
		C19H36O8S
		C23H36O7
		C18H19NO11
		C17H19N3O10
		C19H23NO10
		C18H23N3O9
		C20H27NO9
		C19H27N3O8
		C21H31NO8
		C17H14O13
		C18H18O12
		C17H18N2O11
		C19H22O9S
		C19H22O11
		C16H26O11S
		C18H22N2O10
		C23H22O8
		C20H26O8S
		C17H30O10S
		C19H26N2O9
		C24H26O7
		C21H30O9
		C22H34O8
		C23H38O7
		C17H17NO12
		C18H21NO11
		C17H21N3O10
		C19H25NO10
		C18H25N3O9
		C20H29NO9
		C21H33NO8
		C17H16O13
		C21H16O10
		C18H20O10S
		C18H20O12
		C17H20N2O11
		C22H20O9
		C19H24O9S
		C19H24O11
		C18H24N2O10
		C23H24O8
		C20H28O8S
		C20H28O10
		C19H28N2O9
		C24H28O7
		C21H32O7S
		C21H32O9
		C18H36O9S
		C25H32O6
		C18H36O11
		C22H36O8
		C17H19NO12
		C18H23NO9S
		C18H23NO11
		C17H23N3O10
		C21H23N3O7
		C19H27NO10
		C23H27NO7
		C20H31NO9
		C17H18O11S
		C17H18O13
		C21H18O10
		C18H22O10S
		C17H22N2O9S
		C18H22O12
		C17H22N2O11
		C22H22O9
		C19H26O9S
		C21H22N2O8
		C19H26O11
		C18H26N2O10
		C23H26O8
		C20H30O8S
		C22H26N2O7
		C20H30O10
		C24H30O7
		C21H34O7S
		C21H34O9
		C25H34O6
		C22H38O8
		C21H38N2O7
		C17H21NO10S
		C17H21NO12
		C21H21NO9
		C18H25NO9S
		C20H21N3O8
		C18H25NO11
		C22H25NO8
		C21H25N3O7
		C19H29NO10
		C23H29NO7
		C20H16O11
		C17H20O11S
		C17H20O13
		C21H20O10
		C18H24O10S
		C20H20N2O9
		C18H24O12
		C22H24O9
		C19H28O9S
		C21H24N2O8
		C19H28O11
		C23H28O8
		C20H32O8S
		C22H28N2O7
		C20H32O10
		C24H32O7
		C25H36O6
		C20H19NO10
		C17H23NO10S
		C19H19N3O9
		C17H23NO12
		C21H23NO9
		C20H23N3O8
		C18H27NO11
		C22H27NO8
		C21H27N3O7
		C19H31NO10
		C23H31NO7
		C19H14O12
		C24H18O6S
		C20H18O11
		C17H22O11S
		C19H18N2O10
		C17H22O13
		C21H22O10
		C18H26O10S
		C20H22N2O9
		C18H26O12
		C22H26O9
		C19H30O9S
		C21H26N2O8
		C19H30O11
		C23H30O8
		C20H34O10
		C24H34O7
		C25H38O6
		C19H17NO11
		C16H21NO11S
		C20H21NO10
		C19H21N3O9
		C17H25NO12
		C21H25NO9
		C20H25N3O8
		C18H29NO11
		C22H29NO8
		C19H33NO10
		C23H33NO7
		C19H16O12
		C16H20O12S
		C20H20O11
		C17H24O11S
		C19H20N2O10
		C17H24O13
		C21H24O10
		C18H28O10S
		C20H24N2O9
		C18H28O12
		C22H28O9
		C19H32O9S
		C21H28N2O8
		C19H32O11
		C23H32O8
		C24H36O7
		C19H19NO11
		C18H19N3O10
		C20H23NO10
		C19H23N3O9
		C21H27NO9
		C20H27N3O8
		C18H31NO11
		C22H31NO8
		C23H35NO7
		C18H14O13
		C19H18O12
		C16H22O12S
		C18H18N2O11
		C20H22O11
		C17H26O11S
		C19H22N2O10
		C21H26O10
		C18H30O10S
		C20H26N2O9
		C25H26O7
		C13H30N2O14
		C18H30O12
		C22H30O9
		C21H30N2O8
		C23H34O8
		C24H38O7
		C18H17NO12
		C19H21NO11
		C18H21N3O10
		C20H25NO10
		C19H25N3O9
		C21H29NO9
		C22H33NO8
		C18H16O13
		C19H20O12
		C16H24O12S
		C18H20N2O11
		C20H24O9S
		C20H24O11
		C17H28O11S
		C19H24N2O10
		C24H24O8
		C21H28O10
		C18H32O10S
		C20H28N2O9
		C25H28O7
		C22H32O9
		C23H36O8
		C18H19NO12
		C19H23NO11
		C18H23N3O10
		C20H27NO10
		C19H27N3O9
		C21H31NO9
		C22H35NO8
		C18H18O13
		C22H18O10
		C19H22O10S
		C19H22O12
		C18H22N2O11
		C23H22O9
		C20H26O9S
		C20H26O11
		C17H30O11S
		C19H26N2O10
		C24H26O8
		C21H30O8S
		C21H30O10
		C25H30O7
		C22H34O9
		C19H38O9S
		C23H38O8
		C18H21NO12
		C21H21N3O8
		C19H25NO11
		C16H29NO11S
		C20H29NO10
		C21H33NO9
		C17H16O14
		C21H16O11
		C18H20O11S
		C18H20O13
		C17H20N2O12
		C22H20O10
		C19H24O10S
		C19H24O12
		C18H24N2O11
		C23H24O9
		C20H28O9S
		C20H28O11
		C19H28N2O10
		C24H28O8
		C21H32O8S
		C21H32O10
		C25H32O7
		C22H36O9
		C21H36N2O8
		C18H23NO12
		C22H23NO9
		C21H23N3O8
		C19H27NO11
		C23H27NO8
		C22H27N3O7
		C20H31NO10
		C17H18O14
		C25H18O6S
		C21H18O11
		C18H22O11S
		C20H18N2O10
		C18H22O13
		C26H22O5S
		C22H22O10
		C19H26O10S
		C21H22N2O9
		C19H26O12
		C23H26O9
		C20H30O9S
		C22H26N2O8
		C20H30O11
		C24H30O8
		C21H34O8S
		C21H34O10
		C25H34O7
		C22H38O9
		C26H38O6
		C17H21NO13
		C21H21NO10
		C18H25NO10S
		C20H21N3O9
		C18H25NO12
		C22H25NO9
		C21H25N3O8
		C19H29NO11
		C23H29NO8
		C20H33NO10
		C24H16O7S
		C20H16O12
		C17H20O12S
		C17H20O14
		C21H20O11
		C18H24O11S
		C20H20N2O10
		C18H24O13
		C22H24O10
		C19H28O10S
		C21H24N2O9
		C19H28O12
		C23H28O9
		C20H32O9S
		C22H28N2O8
		C20H32O11
		C24H32O8
		C21H36O10
		C25H36O7
		C20H19NO11
		C19H19N3O10
		C21H23NO10
		C20H23N3O9
		C18H27NO12
		C22H27NO9
		C21H27N3O8
		C19H31NO11
		C23H31NO8
		C20H18O12
		C17H22O12S
		C19H18N2O11
		C16H22N2O13
		C21H22O11
		C18H26O11S
		C20H22N2O10
		C18H26O13
		C22H26O10
		C19H30O10S
		C21H26N2O9
		C19H30O12
		C16H34O12S
		C23H30O9
		C20H34O9S
		C22H30N2O8
		C20H34O11
		C24H34O8
		C25H38O7
		C19H17NO12
		C20H21NO11
		C19H21N3O10
		C21H25NO10
		C20H25N3O9
		C18H29NO12
		C22H29NO9
		C19H33NO11
		C23H33NO8
		C19H16O13
		C20H20O12
		C17H24O12S
		C19H20N2O11
		C25H24O6S
		C21H24O11
		C18H28O11S
		C20H24N2O10
		C22H28O10
		C19H32O10S
		C21H28N2O9
		C23H32O9
		C24H36O8
		C25H40O7
		C19H19NO12
		C18H19N3O11
		C20H23NO11
		C19H23N3O10
		C21H27NO10
		C20H27N3O9
		C22H31NO9
		C23H35NO8
		C19H18O13
		C18H18N2O12
		C20H22O12
		C17H26O12S
		C19H22N2O11
		C13H30N2O13S
		C21H26O11
		C18H30O11S
		C20H26N2O10
		C25H26O8
		C13H30N2O15
		C22H30O10
		C21H30N2O9
		C26H30O7
		C23H34O9
		C24H38O8
		C19H21NO12
		C18H21N3O11
		C20H25NO11
		C19H25N3O10
		C21H29NO10
		C22H33NO9
		C18H16O14
		C19H20O13
		C18H20N2O12
		C23H20O10
		C20H24O10S
		C20H24O12
		C19H24N2O11
		C24H24O9
		C21H28O9S
		C21H28O11
		C20H28N2O10
		C25H28O8
		C22H32O8S
		C22H32O10
		C26H32O7
		C23H36O9
		C20H40O11
		C24H40O8
		C18H19NO13
		C19H23NO12
		C20H27NO11
		C21H31NO10
		C22H35NO9
		C18H18O14
		C22H18O11
		C19H22O11S
		C19H22O13
		C18H22N2O12
		C23H22O10
		C20H26O10S
		C22H22N2O9
		C20H26O12
		C17H30O12S
		C19H26N2O11
		C24H26O9
		C21H30O9S
		C23H26N2O8
		C21H30O11
		C25H30O8
		C22H34O8S
		C22H34O10
		C26H34O7
		C23H38O9
		C22H38N2O8
		C20H42O11
		C18H21NO13
		C22H21NO10
		C19H25NO12
		C23H25NO9
		C22H25N3O8
		C20H29NO11
		C24H29NO8
		C21H33NO10
		C21H16O12
		C18H20O12S
		C18H20O14
		C26H20O6S
		C22H20O11
		C19H24O11S
		C21H20N2O10
		C19H24O13
		C18H24N2O12
		C27H24O5S
		C23H24O10
		C20H28O10S
		C22H24N2O9
		C20H28O12
		C24H28O9
		C21H32O9S
		C23H28N2O8
		C21H32O11
		C25H32O8
		C22H36O10
		C26H36O7
		C18H23NO13
		C22H23NO10
		C19H27NO10S
		C21H23N3O9
		C19H27NO12
		C23H27NO9
		C22H27N3O8
		C20H31NO11
		C24H31NO8
		C21H18O12
		C18H22O12S
		C18H22O14
		C26H22O6S
		C22H22O11
		C19H26O11S
		C21H22N2O10
		C19H26O13
		C23H26O10
		C20H30O10S
		C22H26N2O9
		C20H30O12
		C24H30O9
		C21H34O9S
		C23H30N2O8
		C21H34O11
		C25H34O8
		C22H38O10
		C26H38O7
		C21H21NO11
		C18H25NO11S
		C20H21N3O10
		C18H25NO13
		C22H25NO10
		C21H25N3O9
		C19H29NO12
		C23H29NO9
		C22H29N3O8
		C24H33NO8
		C20H16O13
		C25H20O7S
		C21H20O12
		C18H24O12S
		C20H20N2O11
		C18H24O14
		C26H24O6S
		C22H24O11
		C19H28O11S
		C21H24N2O10
		C19H28O13
		C23H28O10
		C20H32O10S
		C22H28N2O9
		C20H32O12
		C24H32O9
		C21H36O9S
		C23H32N2O8
		C21H36O11
		C25H36O8
		C26H40O7
		C20H19NO12
		C21H23NO11
		C20H23N3O10
		C22H27NO10
		C21H27N3O9
		C19H31NO12
		C23H31NO9
		C24H35NO8
		C20H18O13
		C25H22O7S
		C21H22O12
		C18H26O12S
		C20H22N2O11
		C22H26O11
		C19H30O11S
		C21H26N2O10
		C19H30O13
		C23H30O10
		C20H34O10S
		C22H30N2O9
		C24H34O9
		C25H38O8
		C26H42O7
		C20H21NO12
		C19H21N3O11
		C21H25NO11
		C20H25N3O10
		C22H29NO10
		C21H29N3O9
		C19H33NO12
		C23H33NO9
		C19H16O14
		C20H20O13
		C19H20N2O12
		C21H24O10S
		C21H24O12
		C18H28O12S
		C20H24N2O11
		C25H24O9
		C22H28O11
		C19H32O11S
		C21H28N2O10
		C26H28O8
		C23H32O10
		C22H32N2O9
		C24H36O9
		C25H40O8
		C19H19NO13
		C20H23NO12
		C19H23N3O11
		C21H27NO11
		C20H27N3O10
		C22H31NO10
		C23H35NO9
		C19H18O14
		C20H22O13
		C19H22N2O12
		C24H22O10
		C21H26O10S
		C13H30N2O14S
		C21H26O12
		C20H26N2O11
		C25H26O9
		C22H30O11
		C21H30N2O10
		C26H30O8
		C23H34O10
		C27H34O7
		C24H38O9
		C25H42O8
		C19H21NO13
		C20H25NO12
		C19H25N3O11
		C21H29NO11
		C22H33NO10
		C19H20O14
		C23H20O11
		C20H24O11S
		C20H24O13
		C19H24N2O12
		C24H24O10
		C21H28O10S
		C17H28O15
		C21H28O12
		C20H28N2O11
		C25H28O9
		C22H32O9S
		C22H32O11
		C26H32O8
		C23H36O10
		C27H36O7
		C20H40O12
		C24H40O9
		C23H40N2O8
		C19H23NO13
		C20H27NO12
		C24H27NO9
		C23H27N3O8
		C21H31NO11
		C22H35NO10
		C18H18O15
		C22H18O12
		C19H22O12S
		C19H22O14
		C23H22O11
		C20H26O11S
		C22H22N2O10
		C20H26O13
		C24H26O10
		C21H30O10S
		C23H26N2O9
		C21H30O12
		C25H30O9
		C22H34O9S
		C22H34O11
		C26H34O8
		C23H38O10
		C27H38O7
		C24H42O9
		C22H21NO11
		C19H25NO13
		C23H25NO10
		C22H25N3O9
		C20H29NO12
		C24H29NO9
		C23H29N3O8
		C21H33NO11
		C25H33NO8
		C21H16O13
		C26H20O7S
		C22H20O12
		C19H24O12S
		C21H20N2O11
		C19H24O14
		C27H24O6S
		C23H24O11
		C20H28O11S
		C22H24N2O10
		C20H28O13
		C24H28O10
		C21H32O10S
		C23H28N2O9
		C21H32O12
		C25H32O9
		C22H36O9S
		C24H32N2O8
		C22H36O11
		C26H36O8
		C27H40O7
		C22H23NO11
		C19H27NO11S
		C21H23N3O10
		C23H27NO10
		C22H27N3O9
		C20H31NO12
		C24H31NO9
		C25H35NO8
		C25H18O8S
		C21H18O13
		C18H22O13S
		C26H22O7S
		C22H22O12
		C19H26O12S
		C21H22N2O11
		C19H26O14
		C27H26O6S
		C23H26O11
		C20H30O11S
		C22H26N2O10
		C20H30O13
		C24H30O10
		C21H34O10S
		C23H30N2O9
		C21H34O12
		C25H34O9
		C26H38O8
		C27H42O7
		C21H21NO12
		C20H21N3O11
		C22H25NO11
		C21H25N3O10
		C23H29NO10
		C22H29N3O9
		C24H33NO9
		C25H37NO8
		C20H16O14
		C25H20O8S
		C21H20O13
		C18H24O13S
		C20H20N2O12
		C26H24O7S
		C22H24O12
		C19H28O12S
		C21H24N2O11
		C23H28O11
		C20H32O11S
		C22H28N2O10
		C20H32O13
		C24H32O10
		C21H36O10S
		C23H32N2O9
		C25H36O9
		C26H40O8
		C20H19NO13
		C21H23NO12
		C20H23N3O11
		C22H27NO11
		C21H27N3O10
		C23H31NO10
		C24H35NO9
		C20H18O14
		C21H22O13
		C20H22N2O12
		C22H26O12
		C19H30O12S
		C21H26N2O11
		C26H26O9
		C23H30O11
		C20H34O11S
		C22H30N2O10
		C27H30O8
		C24H34O10
		C25H38O9
		C26H42O8
		C20H21NO13
		C21H25NO12
		C20H25N3O11
		C22H29NO11
		C21H29N3O10
		C23H33NO10
		C20H20O14
		C19H20N2O13
		C21H24O11S
		C21H24O13
		C20H24N2O12
		C25H24O10
		C18H28O15
		C22H28O12
		C21H28N2O11
		C26H28O9
		C23H32O11
		C27H32O8
		C24H36O10
		C25H40O9
		C19H19NO14
		C20H23NO13
		C23H23N3O9
		C21H27NO12
		C20H27N3O11
		C22H31NO11
		C23H35NO10
		C24H43N3O7
		C19H18O15
		C23H18O12
		C20H22O14
		C19H22N2O13
		C24H22O11
		C21H26O11S
		C21H26O13
		C20H26N2O12
		C25H26O10
		C22H30O10S
		C18H30O15
		C22H30O12
		C21H30N2O11
		C26H30O9
		C23H34O9S
		C23H34O11
		C27H34O8
		C24H38O10
		C25H42O9
		C24H42N2O8
		C19H21NO14
		C20H25NO13
		C23H25N3O9
		C21H29NO12
		C24H29N3O8
		C22H33NO11
		C19H20O15
		C23H20O12
		C20H24O12S
		C20H24O14
		C24H24O11
		C21H28O11S
		C23H24N2O10
		C21H28O13
		C25H28O10
		C22H32O10S
		C24H28N2O9
		C22H32O12
		C26H32O9
		C23H36O9S
		C23H36O11
		C27H36O8
		C24H40O10
		C28H40O7
		C23H23NO11
		C20H27NO11S
		C22H23N3O10
		C20H27NO13
		C24H27NO10
		C23H27N3O9
		C21H31NO12
		C25H31NO9
		C22H35NO11
		C22H18O13
		C19H22O15
		C27H22O7S
		C23H22O12
		C20H26O12S
		C22H22N2O11
		C20H26O14
		C28H26O6S
		C24H26O11
		C21H30O11S
		C23H26N2O10
		C21H30O13
		C25H30O10
		C22H34O10S
		C24H30N2O9
		C22H34O12
		C26H34O9
		C23H38O11
		C27H38O8
		C28H42O7
		C22H21NO12
		C21H21N3O11
		C23H25NO11
		C22H25N3O10
		C24H29NO10
		C23H29N3O9
		C25H33NO9
		C26H20O8S
		C22H20O13
		C19H24O13S
		C19H24O15
		C27H24O7S
		C23H24O12
		C20H28O12S
		C22H24N2O11
		C20H28O14
		C24H28O11
		C21H32O11S
		C23H28N2O10
		C21H32O13
		C25H32O10
		C22H36O10S
		C24H32N2O9
		C22H36O12
		C26H36O9
		C27H40O8
		C22H23NO12
		C21H23N3O11
		C23H27NO11
		C22H27N3O10
		C20H31NO13
		C24H31NO10
		C25H35NO9
		C21H18O14
		C22H22O13
		C19H26O13S
		C21H22N2O12
		C23H26O12
		C20H30O12S
		C22H26N2O11
		C20H30O14
		C24H30O11
		C21H34O11S
		C23H30N2O10
		C21H34O13
		C18H38O13S
		C25H34O10
		C26H38O9
		C27H42O8
		C21H21NO13
		C20H21N3O12
		C22H25NO12
		C21H25N3O11
		C23H29NO11
		C22H29N3O10
		C24H33NO10
		C25H37NO9
		C21H20O14
		C26H24O8S
		C22H24O13
		C19H28O13S
		C21H24N2O12
		C23H28O12
		C20H32O12S
		C22H28N2O11
		C24H32O11
		C21H36O11S
		C23H32N2O10
		C25H36O10
		C26H40O9
		C21H23NO13
		C20H23N3O12
		C22H27NO12
		C21H27N3O11
		C23H31NO11
		C24H35NO10
		C20H18O15
		C21H22O14
		C20H22N2O13
		C25H22O11
		C22H26O11S
		C22H26O13
		C19H30O13S
		C21H26N2O12
		C26H26O10
		C23H30O10S
		C23H30O12
		C20H34O12S
		C22H30N2O11
		C27H30O9
		C24H34O11
		C28H34O8
		C25H38O10
		C26H42O9
		C27H50N2O6
		C20H21NO14
		C21H25NO13
		C20H25N3O12
		C22H29NO12
		C23H33NO11
		C24H37NO10
		C25H45N3O7
		C26H49N3O6
		C20H20O15
		C24H20O12
		C21H24O12S
		C21H24O14
		C20H24N2O13
		C25H24O11
		C22H28O11S
		C22H28O13
		C21H28N2O12
		C26H28O10
		C23H32O10S
		C23H32O12
		C27H32O9
		C24H36O9S
		C24H36O11
		C28H36O8
		C25H40O10
		C25H44N2O8
		C20H23NO14
		C21H27NO13
		C24H27N3O9
		C22H31NO12
		C23H35NO11
		C23H18O13
		C20H22O15
		C24H22O12
		C21H26O12S
		C21H26O14
		C25H26O11
		C22H30O11S
		C18H30O16
		C24H26N2O10
		C22H30O13
		C26H30O10
		C23H34O10S
		C23H34O12
		C27H34O9
		C24H38O11
		C28H38O8
		C29H42O7
		C22H46O12
		C20H25NO14
		C24H25NO11
		C23H25N3O10
		C21H29NO13
		C25H29NO10
		C24H29N3O9
		C22H33NO12
		C26H33NO9
		C27H20O8S
		C23H20O13
		C20H24O13S
		C20H24O15
		C24H24O12
		C21H28O12S
		C23H24N2O11
		C21H28O14
		C25H28O11
		C22H32O11S
		C18H32O16
		C24H28N2O10
		C22H32O13
		C26H32O10
		C23H36O10S
		C25H32N2O9
		C23H36O12
		C27H36O9
		C24H40O11
		C28H40O8
		C29H44O7
		C23H23NO12
		C22H23N3O11
		C24H27NO11
		C23H27N3O10
		C21H31NO13
		C25H31NO10
		C24H31N3O9
		C26H35NO9
		C22H18O14
		C27H22O8S
		C23H22O13
		C20H26O13S
		C22H22N2O12
		C20H26O15
		C28H26O7S
		C24H26O12
		C21H30O12S
		C23H26N2O11
		C21H30O14
		C25H30O11
		C22H34O11S
		C24H30N2O10
		C22H34O13
		C26H34O10
		C23H38O12
		C27H38O9
		C28H42O8
		C22H21NO13
		C23H25NO12
		C22H25N3O11
		C24H29NO11
		C23H29N3O10
		C25H33NO10
		C26H37NO9
		C26H20O9S
		C22H20O14
		C23H24O13
		C20H28O13S
		C22H24N2O12
		C20H28O15
		C24H28O12
		C21H32O12S
		C23H28N2O11
		C21H32O14
		C25H32O11
		C22H36O11S
		C24H32N2O10
		C22H36O13
		C26H36O10
		C27H40O9
		C28H44O8
		C22H23NO13
		C21H23N3O12
		C23H27NO12
		C22H27N3O11
		C24H31NO11
		C23H31N3O10
		C25H35NO10
		C21H18O15
		C22H22O14
		C21H22N2O13
		C23H26O13
		C20H30O13S
		C22H26N2O12
		C24H30O10S
		C24H30O12
		C21H34O12S
		C23H30N2O11
		C28H30O9
		C25H34O11
		C26H38O10
		C27H42O9
		C21H21NO14
		C22H25NO13
		C21H25N3O12
		C23H29NO12
		C24H33NO11
		C25H37NO10
		C21H20O15
		C22H24O14
		C21H24N2O13
		C23H28O11S
		C23H28O13
		C20H32O13S
		C22H28N2O12
		C27H28O10
		C24H32O12
		C23H32N2O11
		C28H32O9
		C24H36N2O8S
		C25H36O11
		C29H36O8
		C26H40O10
		C27H44O9
		C21H23NO14
		C22H27NO13
		C21H27N3O12
		C23H31NO12
		C24H35NO11
		C26H47N3O7
		C21H22O15
		C25H22O12
		C22H26O12S
		C22H26O14
		C21H26N2O13
		C26H26O11
		C23H30O11S
		C23H30O13
		C22H30N2O12
		C27H30O10
		C24H34O10S
		C24H34O12
		C28H34O9
		C25H38O11
		C29H38O8
		C26H42O10
		C26H46N2O8
		C35H46O3
		C21H25NO14
		C24H25N3O10
		C22H29NO13
