file001_18S_clip	file002_18S_clip	file003_18S_clip	file004_18S_clip	file005_18S_clip	file006_18S_clip	file007_18S_clip	file008_18S_clip	file009_18S_clip	file010_18S_clip	file011_18S_clip	file012_18S_clip	file013_18S_clip	file014_18S_clip	file015_18S_clip	file016_18S_clip	file017_18S_clip	file018_18S_clip	file019_18S_clip	file020_18S_clip	file021_18S_clip	file022_18S_clip	file023_18S_clip	file024_18S_clip	file025_18S_clip	file026_18S_clip	file027_18S_clip	file028_18S_clip	file029_18S_clip	file030_18S_clip	file031_18S_clip	file032_18S_clip
asv49	1010	25	154	0	175	22	696	0	237	600	574	416	125	2057	36	66	206	763	377	0	63	170	1	2	0	47	0	1142	0	1	41	0
asv50	0	1707	28	0	2	388	936	0	2	0	0	0	1	0	283	0	4	0	0	0	2284	0	1	2446	1	728	1	1	0	1	24	0
asv51	0	1346	0	1	0	131	1372	0	9	0	0	0	1	0	785	1	21	0	0	0	1880	0	0	1654	0	1398	0	0	0	0	56	0
asv52	0	35	0	0	42	4	409	0	5	12	0	0	0	57	35	4	10	20	0	0	79	0	0	7841	0	78	0	2	0	0	8	0
asv53	59	139	442	0	548	169	128	0	533	621	881	574	204	350	76	431	450	124	540	0	143	665	0	8	0	187	0	498	0	0	262	0
asv54	721	45	273	0	781	32	423	0	295	160	366	461	194	956	31	50	250	812	612	0	84	262	0	2	0	105	186	519	0	0	85	0
asv55	0	164	1	0	30	231	653	1	10	29	0	6	0	51	41	0	39	4	0	2	172	0	0	887	5131	166	0	1	0	0	45	0
asv56	536	28	88	1	279	32	545	0	157	398	305	196	257	1011	64	100	414	1905	159	0	99	83	0	1	0	69	0	633	0	0	49	0
asv57	366	26	27	0	610	31	1795	0	56	112	115	96	384	159	47	30	40	2873	67	0	140	40	0	124	1	62	0	78	0	0	83	0
asv58	347	231	151	0	263	99	640	0	415	537	389	405	165	1039	64	50	363	599	199	0	360	254	0	1	0	105	0	528	0	0	134	0
asv59	567	139	33	0	527	139	1006	0	261	491	174	210	518	397	87	249	98	1611	53	1	301	33	0	53	0	95	0	132	0	0	124	0
asv60	319	16	95	0	223	25	661	0	186	364	543	414	231	1368	26	42	405	809	201	0	86	137	0	16	0	49	0	1004	0	0	49	0
asv61	737	5	111	0	322	3	185	0	293	616	564	271	27	1976	8	13	593	185	105	0	26	144	0	1	0	26	0	771	0	0	89	1
asv62	27	292	135	0	559	389	395	0	175	417	159	339	796	100	178	1048	73	328	337	0	268	204	0	0	0	377	48	108	0	0	315	0
asv63	0	279	0	0	457	1952	580	0	4	0	0	4	0	2	64	0	2	0	28	0	427	0	0	2606	0	159	2	0	0	0	137	0
asv64	667	33	77	0	329	5	37	0	326	557	334	256	24	2178	9	16	572	30	122	0	26	114	1	0	0	11	0	751	0	0	98	0
asv65	190	26	4	0	33	17	689	0	15	28	36	45	222	98	23	24	38	1426	11	1	83	10	0	12	0	46	3183	86	0	0	11	0
asv66	42	1544	4	0	25	305	242	0	2	0	25	1	73	7	244	670	6	10	0	0	1839	2	0	374	0	784	0	0	0	0	58	0
asv67	0	272	0	0	28	58	1581	0	0	0	3	0	44	1	297	1	8	0	49	0	769	0	0	1295	0	1502	0	0	0	0	101	0
asv68	447	39	11	0	94	21	555	0	64	154	114	114	259	294	42	87	155	1342	53	0	100	43	0	1	0	56	1408	369	0	0	33	0
